epoch,accuracy,loss,val_accuracy,val_loss
0,0.32891467213630676,1.493044376373291,0.3807947039604187,1.1833562850952148
1,0.39188069105148315,1.3144043684005737,0.4503311216831207,1.106752872467041
2,0.40886494517326355,1.233630895614624,0.4701986610889435,1.0542330741882324
3,0.44739022850990295,1.13457453250885,0.4867549538612366,1.0118976831436157
4,0.4660314917564392,1.1234253644943237,0.503311276435852,0.988824725151062
5,0.4710024893283844,1.0574535131454468,0.5397350788116455,0.9440479278564453
6,0.5024855136871338,0.9999500513076782,0.5860927104949951,0.9100379347801208
7,0.5037282705307007,0.9826204180717468,0.556291401386261,0.8937373161315918
8,0.5215409994125366,0.9623056650161743,0.5894039869308472,0.8771018981933594
9,0.5389395356178284,0.9046996235847473,0.5960264801979065,0.8768259882926941
10,0.531068742275238,0.9100205302238464,0.612582802772522,0.858406126499176
11,0.5542667508125305,0.8929070234298706,0.6291390657424927,0.8326658010482788
12,0.5584092736244202,0.8678753972053528,0.6291390657424927,0.8555563688278198
13,0.5687655210494995,0.8556241989135742,0.6026490330696106,0.8419460654258728
14,0.5803645253181458,0.8278073072433472,0.6456953883171082,0.8188847303390503
15,0.5662800073623657,0.8279074430465698,0.639072835445404,0.8166252970695496
16,0.5820215344429016,0.8081768751144409,0.639072835445404,0.7864330410957336
17,0.5832642912864685,0.8001959323883057,0.639072835445404,0.7965643405914307
18,0.5898922681808472,0.7905725836753845,0.6655629277229309,0.7808696627616882
19,0.5865783095359802,0.7954654693603516,0.6490066051483154,0.8018184304237366
20,0.5828500390052795,0.7770111560821533,0.6688741445541382,0.7565159201622009
21,0.6002485752105713,0.7565284371376038,0.6324503421783447,0.7584108710289001
22,0.60687655210495,0.7621403336524963,0.6655629277229309,0.7698439359664917
23,0.5985915660858154,0.7712944149971008,0.6887417435646057,0.745515763759613
24,0.6184755563735962,0.7412347793579102,0.6788079738616943,0.758774995803833
25,0.6081193089485168,0.7464389801025391,0.6688741445541382,0.7562655806541443
26,0.6155757904052734,0.7303029894828796,0.6986755132675171,0.7452393174171448
27,0.6184755563735962,0.7345054149627686,0.6754966974258423,0.7517648935317993
28,0.6130903363227844,0.7257214188575745,0.6688741445541382,0.7315529584884644
29,0.6176470518112183,0.721439778804779,0.6788079738616943,0.7204288840293884
30,0.6238608360290527,0.7237173318862915,0.6887417435646057,0.7321740984916687
31,0.6391880512237549,0.705134928226471,0.6854304671287537,0.7224168181419373
32,0.637945294380188,0.7011891007423401,0.6622516512870789,0.7344826459884644
33,0.6313173174858093,0.6975468993186951,0.6788079738616943,0.7230005860328674
34,0.6321458220481873,0.7112208008766174,0.6589403748512268,0.732649028301239
35,0.637945294380188,0.6853699684143066,0.6821191906929016,0.724265992641449
36,0.6483016014099121,0.68944251537323,0.6788079738616943,0.7248508930206299
37,0.6325600743293762,0.6880416870117188,0.6788079738616943,0.7208171486854553
37,0.6296603083610535,0.7123942971229553,0.6788079738616943,0.7322809100151062
38,0.6234465837478638,0.7056624889373779,0.6887417435646057,0.7279150485992432
39,0.6458160877227783,0.687639594078064,0.6887417435646057,0.7197015285491943
40,0.6321458220481873,0.6927351951599121,0.6854304671287537,0.7279053330421448
41,0.6396023035049438,0.6906586289405823,0.6721854209899902,0.7101103067398071
